# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:DeltaSigma 5:Sumwls_by_sumwl 6:rmin/2+rmax/2 7:DeltaSigma_cross 8:Sum_srcwt_per_lens 9:TotalSum_srcwt 10:SN_ErrDeltaSigma 11:SN_ErrDeltaSigma_cross 12:Jackknife_region 
2.010300e-01 7.685225e+01 1.715694e+01 1.119446e+01 6.865204e+00 9.684980e-04 1.630957e+00 -1.932880e-01 2.085830e+02 3.695048e+06 3.735343e-01 3.738310e-01 7
4.010300e-01 1.008493e+02 4.297524e+01 2.806959e+01 3.592832e+00 2.425924e-03 2.584893e+00 3.191583e-01 5.224708e+02 9.255571e+06 2.357458e-01 2.360167e-01 7
6.010300e-01 1.360842e+02 1.077745e+02 7.039488e+01 1.933155e+00 6.083802e-03 4.096780e+00 1.363853e-01 1.309692e+03 2.320119e+07 1.489065e-01 1.489107e-01 7
8.010300e-01 2.175251e+02 2.696939e+02 1.761811e+02 1.234668e+00 1.522404e-02 6.492958e+00 9.117742e-03 3.276772e+03 5.804801e+07 9.408135e-02 9.411095e-02 7
1.001030e+00 3.111379e+02 6.735858e+02 4.399470e+02 7.072169e-01 3.802347e-02 1.029065e+01 9.308986e-03 8.179071e+03 1.448922e+08 5.956120e-02 5.955690e-02 7
1.201030e+00 5.627283e+02 1.677029e+03 1.095139e+03 5.138417e-01 9.466717e-02 1.630957e+01 -1.281440e-02 2.034413e+04 3.603963e+08 3.773877e-02 3.774443e-02 7
-5.989700e-01 1.178663e+01 4.541619e-01 2.955887e-01 3.987509e+01 2.560101e-05 2.584893e-01 5.373129e+00 5.500846e+00 9.758500e+04 2.350210e+00 2.354386e+00 8
-3.989700e-01 2.195256e+01 1.109174e+00 7.281187e-01 3.014970e+01 6.252390e-05 4.096780e-01 5.821485e-01 1.346387e+01 2.388490e+05 1.480386e+00 1.467848e+00 8
-1.989700e-01 3.097382e+01 2.765508e+00 1.809947e+00 1.711310e+01 1.558911e-04 6.492958e-01 -7.323323e-01 3.355975e+01 5.953500e+05 9.334350e-01 9.332979e-01 8
1.029996e-03 4.994292e+01 6.889716e+00 4.495184e+00 1.111032e+01 3.883718e-04 1.029065e+00 5.570940e-01 8.368517e+01 1.484575e+06 5.897343e-01 5.908878e-01 8
2.010300e-01 7.652325e+01 1.719945e+01 1.122249e+01 6.818742e+00 9.695293e-04 1.630957e+00 -2.323155e-01 2.089128e+02 3.706113e+06 3.730972e-01 3.734095e-01 8
4.010300e-01 1.023119e+02 4.307161e+01 2.813097e+01 3.636985e+00 2.427938e-03 2.584893e+00 3.259123e-01 5.231742e+02 9.281110e+06 2.355435e-01 2.357877e-01 8
6.010300e-01 1.354916e+02 1.080428e+02 7.057078e+01 1.919939e+00 6.090349e-03 4.096780e+00 1.236708e-01 1.311760e+03 2.327062e+07 1.487444e-01 1.487458e-01 8
8.010300e-01 2.182146e+02 2.704233e+02 1.766521e+02 1.235278e+00 1.524370e-02 6.492958e+00 1.129160e-02 3.282472e+03 5.823105e+07 9.396563e-02 9.399822e-02 8
1.001030e+00 3.129681e+02 6.755585e+02 4.412208e+02 7.093230e-01 3.808109e-02 1.029065e+01 1.667750e-02 8.195649e+03 1.453908e+08 5.948185e-02 5.947766e-02 8
1.201030e+00 5.566809e+02 1.682782e+03 1.098866e+03 5.065958e-01 9.485807e-02 1.630957e+01 -1.393863e-02 2.039509e+04 3.618088e+08 3.767985e-02 3.768558e-02 8
-5.989700e-01 1.167388e+01 4.540200e-01 2.955466e-01 3.949930e+01 2.561467e-05 2.584893e-01 4.934208e+00 5.497602e+00 9.744500e+04 2.349015e+00 2.353907e+00 9
-3.989700e-01 2.177187e+01 1.106669e+00 7.265681e-01 2.996535e+01 6.243550e-05 4.096780e-01 5.230674e-01 1.343859e+01 2.381990e+05 1.481364e+00 1.468250e+00 9
-1.989700e-01 3.035292e+01 2.760837e+00 1.806949e+00 1.679789e+01 1.557595e-04 6.492958e-01 -7.169545e-01 3.351295e+01 5.940170e+05 9.342772e-01 9.333512e-01 9
1.029996e-03 4.997158e+01 6.879312e+00 4.487733e+00 1.113515e+01 3.881135e-04 1.029065e+00 5.511136e-01 8.359334e+01 1.481692e+06 5.902675e-01 5.914193e-01 9
2.010300e-01 7.554756e+01 1.717022e+01 1.120131e+01 6.744530e+00 9.687007e-04 1.630957e+00 -2.625902e-01 2.086128e+02 3.697661e+06 3.735059e-01 3.737676e-01 9
4.010300e-01 1.011835e+02 4.300041e+01 2.808278e+01 3.603044e+00 2.425975e-03 2.584893e+00 3.348569e-01 5.224597e+02 9.260598e+06 2.357349e-01 2.360075e-01 9
6.010300e-01 1.373396e+02 1.078503e+02 7.042972e+01 1.950024e+00 6.084644e-03 4.096780e+00 1.157434e-01 1.309842e+03 2.321696e+07 1.489090e-01 1.489031e-01 9
8.010300e-01 2.153338e+02 2.699878e+02 1.763410e+02 1.221122e+00 1.523203e-02 6.492958e+00 7.491894e-03 3.278355e+03 5.810885e+07 9.406187e-02 9.409004e-02 9
1.001030e+00 3.065659e+02 6.744355e+02 4.404074e+02 6.960960e-01 3.804996e-02 1.029065e+01 2.162735e-02 8.185601e+03 1.450898e+08 5.954235e-02 5.953843e-02 9
1.201030e+00 5.573100e+02 1.679869e+03 1.096795e+03 5.081259e-01 9.477397e-02 1.630957e+01 -4.810348e-03 2.037063e+04 3.610695e+08 3.771917e-02 3.772454e-02 9
-5.989700e-01 1.170130e+01 4.534174e-01 2.951817e-01 3.964102e+01 2.558067e-05 2.584893e-01 5.423866e+00 5.492186e+00 9.734900e+04 2.351049e+00 2.354271e+00 10
-3.989700e-01 2.150321e+01 1.106199e+00 7.260702e-01 2.961587e+01 6.240898e-05 4.096780e-01 4.466440e-01 1.342505e+01 2.379590e+05 1.482697e+00 1.468815e+00 10
-1.989700e-01 3.026348e+01 2.758331e+00 1.805482e+00 1.676199e+01 1.556181e-04 6.492958e-01 -6.184115e-01 3.345788e+01 5.930410e+05 9.343235e-01 9.345679e-01 10
